Labogene Datalogger;;;Date: 7/10-2020;;Time: 09:15
No data...
No data...
No data...
No data...
No data...
No data...
No data...
No data...
No data...
No data...
;;Graf 1;Graf 2;Graf 3;Graf 4;Graf 5;Graf 6;Graf 7;Graf 8;Graf 9;Graf 10;Graf 11;Graf 12;Graf 13;Graf 14;Graf 15;Dig 1;Dig 2;Dig 3;Dig 4;Dig 5;Dig 6;Dig 7;Dig 8;Dig 9;Dig 10;Dig 11;Dig 12;Dig 13;Dig 14;Dig 15;Dig 16
LOG nr;Time;Shelf1;Shelf2;Shelf3;Shelf4;Shelf5;Shelf6;Shelf7;Shelf8;Ice condensor;Product;Actual pressure;Time;-;AutoStep;Configuration;Pressostat1;Pressostat2;Release valve;Vacuum pump;Cool only;Pressostat1 lock;Pressostat2 lock;Wait for low temperature;Manual MODE;Auto MODE;De-ice MODE;Release MODE;Pressure regulation;Vacuum valve;Compressor2;Compressor1
99;14:07-6/10;23,5;83,0;23,2;83,0;23,2;83,0;83,0;83,0;-97,1;-16,0;111;60;1797;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
100;14:08-6/10;23,8;83,0;22,9;83,0;22,9;83,0;83,0;83,0;-97,1;-16,0;110;61;1796;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
101;14:09-6/10;24,2;83,0;22,7;83,0;22,8;83,0;83,0;83,0;-97,1;-15,0;111;62;1797;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
102;14:09-6/10;24,3;83,0;22,6;83,0;22,6;83,0;83,0;83,0;-97,0;-15,0;112;63;1799;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
103;14:10-6/10;24,2;83,0;22,6;83,0;22,6;83,0;83,0;83,0;-97,0;-15,0;113;63;1800;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
104;14:11-6/10;24,0;83,0;22,6;83,0;22,6;83,0;83,0;83,0;-97,1;-15,0;113;64;1800;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
105;14:12-6/10;23,6;83,0;22,7;83,0;22,6;83,0;83,0;83,0;-97,0;-15,0;114;65;1801;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
106;14:12-6/10;23,3;83,0;22,9;83,0;22,8;83,0;83,0;83,0;-97,0;-15,0;114;66;1802;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
107;14:13-6/10;22,8;83,0;23,1;83,0;23,0;83,0;83,0;83,0;-97,1;-15,0;114;66;1802;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
108;14:14-6/10;22,6;83,0;23,1;83,0;23,2;83,0;83,0;83,0;-97,1;-15,0;116;67;1804;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
109;14:15-6/10;22,4;83,0;23,3;83,0;23,3;83,0;83,0;83,0;-97,0;-15,0;116;68;1804;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
110;14:15-6/10;22,1;83,0;23,3;83,0;23,3;83,0;83,0;83,0;-96,8;-15,0;116;69;1804;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
111;14:16-6/10;22,2;83,0;23,4;83,0;23,4;83,0;83,0;83,0;-97,2;-15,0;116;69;1804;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
112;14:17-6/10;22,4;83,0;23,4;83,0;23,4;83,0;83,0;83,0;-97,0;-15,0;116;70;1804;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
113;14:18-6/10;22,6;83,0;23,2;83,0;23,3;83,0;83,0;83,0;-96,8;-15,0;116;71;1805;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
114;14:18-6/10;22,9;83,0;23,2;83,0;23,2;83,0;83,0;83,0;-96,9;-15,0;118;72;1807;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
115;14:19-6/10;23,3;83,0;23,1;83,0;23,1;83,0;83,0;83,0;-96,9;-15,0;119;72;1809;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
116;14:20-6/10;23,6;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-96,9;-14,0;118;73;1807;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
117;14:21-6/10;23,7;83,0;23,0;83,0;22,9;83,0;83,0;83,0;-96,8;-14,0;118;74;1807;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
118;14:21-6/10;23,8;83,0;22,8;83,0;22,8;83,0;83,0;83,0;-97,0;-14,0;118;75;1807;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
119;14:22-6/10;23,8;83,0;22,8;83,0;22,8;83,0;83,0;83,0;-96,8;-14,0;118;75;1807;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
120;14:23-6/10;23,7;83,0;22,8;83,0;22,9;83,0;83,0;83,0;-96,9;-14,0;117;76;1806;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
121;14:24-6/10;23,5;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-96,8;-14,0;118;77;1807;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
122;14:24-6/10;23,2;83,0;22,9;83,0;22,9;83,0;83,0;83,0;-96,8;-14,0;118;78;1807;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
123;14:25-6/10;22,9;83,0;23,0;83,0;23,0;83,0;83,0;83,0;-96,8;-14,0;118;78;1807;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
124;14:26-6/10;22,7;83,0;23,0;83,0;23,2;83,0;83,0;83,0;-96,9;-14,0;118;79;1807;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
125;14:27-6/10;22,5;83,0;23,2;83,0;23,3;83,0;83,0;83,0;-96,8;-14,0;118;80;1807;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
126;14:27-6/10;22,4;83,0;23,2;83,0;23,2;83,0;83,0;83,0;-96,8;-14,0;118;81;1807;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
127;14:28-6/10;22,4;83,0;23,2;83,0;23,1;83,0;83,0;83,0;-96,8;-14,0;118;81;1807;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
128;14:29-6/10;22,5;83,0;23,1;83,0;23,2;83,0;83,0;83,0;-96,7;-14,0;118;82;1807;6;8135;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
